"t"	"f"
"1"	133	122.7
"2"	143	109.5
"3"	153	101.4
"4"	163	92
"5"	173	86.8
"6"	183	83.7
"7"	193	77.2
"8"	203	69.4
"9"	213	69.2
"10"	223	62.4
"11"	233	65
"12"	243	57.2
"13"	253	54.6
"14"	263	54.3
"15"	278	50.8
"16"	298	49.8
"17"	318	45.4
"18"	338	45.5
"19"	358	46.9
"20"	378	40.2
"21"	398	41.7
"22"	418	39.4
"23"	438	39.9
"24"	458	34.8
"25"	478	31.9
"26"	498	31.5
"27"	518	32.5
"28"	538	27.4
"29"	558	32.4
"30"	578	29.8
"31"	598	28.5
"32"	618	29.1
"33"	638	24.8
"34"	658	27.3
"35"	658	27.3
"36"	658	27.3
"37"	658	27.3
"38"	658	27.3
"39"	658	27.3
"40"	678	24.6
"41"	708	24.2
"42"	748	20.4
"43"	788	19.8
"44"	828	19
"45"	868	16.3
"46"	908	18.5
"47"	948	17.6
"48"	988	16.3
"49"	1028	15.5
"50"	6009	1.072
"51"	6309	1.331
"52"	6609	0.987
"53"	6909	1.01
"54"	11809	0.56
"55"	12509	0.482
"56"	18109	0.331
"57"	23859	0.173
"58"	27859	0.108
"59"	35859	0.079
"60"	81459	0.0361
"61"	99102	0.0273
"62"	165485	0.008
"63"	412515	0.0013
